name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip,head_bias,joint_load,skill_gate,stabilises,selectable
Dumbbell External Rotation,dumbbell-external-rotation,external_rotation,strength,isolation,rear_delts,,dumbbell|bench,FALSE,1,3,12,20,45,TRUE,weight_reps,,,,,shoulder,,abs,FALSE
Cable External Rotation,cable-external-rotation,external_rotation,strength,isolation,rear_delts,,cable,FALSE,1,3,12,20,45,TRUE,weight_reps,,,,,shoulder,,abs,FALSE
Band External Rotation,band-external-rotation,external_rotation,strength,isolation,rear_delts,,bands,FALSE,1,2,15,25,45,TRUE,reps_only,,,,,,,abs,FALSE
Band Internal Rotation,band-internal-rotation,external_rotation,strength,isolation,front_delts,,bands,FALSE,1,2,15,25,45,TRUE,reps_only,,,,,,,abs,FALSE
Lying Rear Delt Raise,lying-rear-delt-raise,reverse_fly,strength,pull_h,rear_delts,upper_back,dumbbell|bench,FALSE,1,2,12,20,45,FALSE,weight_reps,,,,,,,abs,FALSE
Single-Arm Lying Rear Delt Raise,single-arm-lying-rear-delt-raise,reverse_fly,strength,pull_h,rear_delts,upper_back,dumbbell|bench,FALSE,1,2,12,20,45,TRUE,weight_reps,,,,,,,abs,FALSE
Seated Bent-Over Rear Delt Raise,seated-bent-over-rear-delt-raise,reverse_fly,strength,pull_h,rear_delts,upper_back,dumbbell|bench,FALSE,1,2,12,20,45,FALSE,weight_reps,,,,,,,abs,FALSE
Band Reverse Fly,band-reverse-fly,reverse_fly,strength,pull_h,rear_delts,upper_back,bands,FALSE,1,2,15,25,45,FALSE,reps_only,,,,,,,abs,FALSE
Sled Reverse Fly,sled-reverse-fly,reverse_fly,strength,pull_h,rear_delts,upper_back,sled,FALSE,2,2,10,20,60,FALSE,reps_only,,,,,,,abs,FALSE
Barbell Rear Delt Row,barbell-rear-delt-row,reverse_fly,strength,pull_h,rear_delts,upper_back|mid_back,barbell,TRUE,3,2,8,15,90,FALSE,weight_reps,,,wide,,,,erectors|abs,FALSE
Cable Rear Delt Row,cable-rear-delt-row,face_pull,strength,pull_h,rear_delts,upper_back|traps,cable,TRUE,2,2,10,20,60,FALSE,weight_reps,,,,,,,abs,FALSE
Low Pulley Row To Neck,low-pulley-row-to-neck,face_pull,strength,pull_h,rear_delts,traps|upper_back,cable,TRUE,2,2,10,20,60,FALSE,weight_reps,,,,,,,abs,FALSE
Dumbbell Upright Row,dumbbell-upright-row,upright_row,strength,pull_v,traps,side_delts,dumbbell,TRUE,2,2,10,15,60,FALSE,weight_reps,shortened,,,,shoulder,,abs,FALSE
Cable Upright Row,cable-upright-row,upright_row,strength,pull_v,traps,side_delts,cable,TRUE,2,2,10,15,60,FALSE,weight_reps,shortened,,,,shoulder,,abs,FALSE
Band Upright Row,band-upright-row,upright_row,strength,pull_v,traps,side_delts,bands,TRUE,1,2,12,20,45,FALSE,reps_only,shortened,,,,,,abs,FALSE
Smith Machine Upright Row,smith-machine-upright-row,upright_row,strength,pull_v,traps,side_delts,smith_machine,TRUE,2,2,10,15,60,FALSE,weight_reps,shortened,,,,shoulder,,abs,FALSE
Sled Overhead Backward Walk,sled-overhead-backward-walk,sled,strength,carry,front_delts,upper_back|abs,sled,TRUE,3,3,20,40,90,FALSE,weight_distance,,overhead,,,shoulder,,abs|erectors,FALSE
